epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.6316,0,31.9435,0,0,0,0,0,0,41.2277,0,0.00018,0.00018,0.00018
2,29.1775,0,31.0437,0,0,0,0,0,0,41.3706,0,0.000372476,0.000372476,0.000372476
3,43.1538,0,30.1328,0,0,0,0,0,0,41.42,0,0.000557032,0.000557032,0.000557032
4,56.9277,0,29.2439,0,0,0,0,0,0,41.4323,0,0.000733668,0.000733668,0.000733668
5,70.6501,0,28.3997,0,0,0,0,0,0,41.51,0,0.000902384,0.000902384,0.000902384
