epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.1128,1.56655,4.9942,1.06763,0.003,0.9,0.00365,0.00248,0.94408,4.26856,0.92431,0.00018,0.00018,0.00018
2,21.9829,1.54521,6.01296,1.07719,0.003,0.9,0.00388,0.00313,0.89902,4.03388,0.87961,0.000370595,0.000370595,0.000370595
3,30.1059,1.47079,4.26527,1.05038,0.00333,1,0.00884,0.00554,0.90116,4.33744,0.95077,0.00055129,0.00055129,0.00055129
4,42.6286,1.37177,4.30409,0.9903,0.00333,1,0.00934,0.00591,0.92497,4.29195,0.95529,0.000722085,0.000722085,0.000722085
5,50.8266,1.37068,3.42395,0.93231,0.00333,1,0.24019,0.17819,0.83055,3.95327,0.88682,0.00088298,0.00088298,0.00088298
6,63.8464,1.34177,4.4423,1.0254,0.00333,1,0.526,0.39766,0.83871,3.83467,0.89207,0.00103397,0.00103397,0.00103397
7,78.2776,1.09675,3.18156,0.9851,0.00333,1,0.526,0.39766,0.83871,3.83467,0.89207,0.00117507,0.00117507,0.00117507
8,85.5521,1.24371,2.95062,0.9365,0.00333,1,0.05847,0.0366,1.0285,3.90444,0.99303,0.00130627,0.00130627,0.00130627
9,96.9651,1.39764,3.10316,1.01982,0.00649,1,0.16072,0.09979,0.93876,3.47647,1.0089,0.00142756,0.00142756,0.00142756
10,110.962,1.16729,2.84428,1.06192,0.00649,1,0.16072,0.09979,0.93876,3.47647,1.0089,0.00153896,0.00153896,0.00153896
11,116.544,1.52814,2.68511,1.00975,0.09585,0.9,0.19209,0.12465,0.99747,3.27081,1.04172,0.001505,0.001505,0.001505
12,129.281,1.22859,3.06254,1.01413,0.45639,0.9,0.55106,0.38116,0.92239,2.70291,1.07268,0.0014555,0.0014555,0.0014555
13,139.714,1.3455,2.57955,1.00961,0.45639,0.9,0.55106,0.38116,0.92239,2.70291,1.07268,0.001406,0.001406,0.001406
14,147.12,1.21565,2.08436,1.03623,0.76149,0.7,0.7944,0.39134,1.16131,2.42038,1.11656,0.0013565,0.0013565,0.0013565
15,155.47,1.39224,2.13188,0.98288,0.90069,0.90756,0.98591,0.52393,0.99455,2.1024,1.09235,0.001307,0.001307,0.001307
16,167.153,1.20709,4.21852,0.95848,0.90069,0.90756,0.98591,0.52393,0.99455,2.1024,1.09235,0.0012575,0.0012575,0.0012575
17,174.921,1.28541,2.01757,0.94523,0.99079,1,0.995,0.76921,0.87636,2.13746,1.04533,0.001208,0.001208,0.001208
18,183.94,1.17434,2.13915,0.97094,0.99079,1,0.995,0.76921,0.87636,2.13746,1.04533,0.0011585,0.0011585,0.0011585
19,195.103,1.04357,2.33018,0.91502,0.90442,0.94859,0.98591,0.77207,0.8131,2.46251,1.03898,0.001109,0.001109,0.001109
20,204.437,1.26103,6.30179,0.92347,0.99444,1,0.995,0.75146,0.88107,2.06489,1.08104,0.0010595,0.0010595,0.0010595
21,214.132,1.11724,2.05373,1.00329,0.99444,1,0.995,0.75146,0.88107,2.06489,1.08104,0.00101,0.00101,0.00101
22,226.39,1.17109,2.1834,0.93416,0.99221,1,0.995,0.74082,0.85802,1.84214,1.06337,0.0009605,0.0009605,0.0009605
23,237.023,1.14896,1.84811,0.97339,0.99364,1,0.995,0.76623,0.80515,1.78939,1.01897,0.000911,0.000911,0.000911
24,249.203,1.05861,2.31185,0.90919,0.99364,1,0.995,0.76623,0.80515,1.78939,1.01897,0.0008615,0.0008615,0.0008615
25,260.008,1.10146,2.29784,0.956,0.9879,1,0.995,0.78947,0.81157,1.94764,1.01142,0.000812,0.000812,0.000812
26,271.524,0.99673,1.90208,0.95072,0.9879,1,0.995,0.78947,0.81157,1.94764,1.01142,0.0007625,0.0007625,0.0007625
27,284.493,0.92279,2.1247,0.94812,0.99072,1,0.995,0.81405,0.80139,1.85775,1.00698,0.000713,0.000713,0.000713
28,294.265,0.92977,1.5135,0.9044,0.99421,1,0.995,0.82846,0.77882,1.70324,1.01322,0.0006635,0.0006635,0.0006635
29,306.097,0.93416,1.57021,0.91545,0.99421,1,0.995,0.82846,0.77882,1.70324,1.01322,0.000614,0.000614,0.000614
30,318.411,0.91472,2.11543,0.97459,0.99441,1,0.995,0.80951,0.75879,1.62277,1.02421,0.0005645,0.0005645,0.0005645
31,326.822,0.8442,1.92121,0.91929,0.9947,1,0.995,0.79852,0.74604,1.57774,1.02026,0.000515,0.000515,0.000515
32,337.502,0.76301,1.81824,0.96553,0.9947,1,0.995,0.79852,0.74604,1.57774,1.02026,0.0004655,0.0004655,0.0004655
33,349.308,0.73908,1.64772,0.94896,0.99613,1,0.995,0.82238,0.71917,1.62036,1.00866,0.000416,0.000416,0.000416
34,360.933,0.7623,1.88579,0.91818,0.99613,1,0.995,0.82238,0.71917,1.62036,1.00866,0.0003665,0.0003665,0.0003665
35,369.011,0.81269,1.43916,0.93173,0.99594,1,0.995,0.82135,0.68793,1.59733,0.99614,0.000317,0.000317,0.000317
36,378.979,0.75824,1.5995,0.8904,0.99581,1,0.995,0.80933,0.68492,1.54927,0.98761,0.0002675,0.0002675,0.0002675
37,391.65,0.70762,1.77419,0.90569,0.99581,1,0.995,0.80933,0.68492,1.54927,0.98761,0.000218,0.000218,0.000218
38,401.307,0.75545,1.54521,0.90766,0.99565,1,0.995,0.81583,0.68384,1.51356,0.9817,0.0001685,0.0001685,0.0001685
