epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.1339,1.56655,4.9942,1.06763,0.003,0.9,0.00365,0.00248,0.94408,4.26856,0.92431,0.00018,0.00018,0.00018
2,22.7838,1.54521,6.01296,1.07719,0.003,0.9,0.00388,0.00313,0.89902,4.03388,0.87961,0.000370595,0.000370595,0.000370595
3,31.3447,1.47079,4.26527,1.05038,0.00333,1,0.00884,0.00554,0.90116,4.33744,0.95077,0.00055129,0.00055129,0.00055129
4,44.0265,1.37177,4.30409,0.9903,0.00333,1,0.00934,0.00591,0.92497,4.29195,0.95529,0.000722085,0.000722085,0.000722085
5,52.2516,1.37068,3.42395,0.93231,0.00333,1,0.24019,0.17819,0.83055,3.95327,0.88682,0.00088298,0.00088298,0.00088298
6,65.3265,1.34177,4.4423,1.0254,0.00333,1,0.526,0.39766,0.83871,3.83467,0.89207,0.00103397,0.00103397,0.00103397
7,79.3748,1.09675,3.18156,0.9851,0.00333,1,0.526,0.39766,0.83871,3.83467,0.89207,0.00117507,0.00117507,0.00117507
8,86.6711,1.24371,2.95062,0.9365,0.00333,1,0.05847,0.0366,1.0285,3.90444,0.99303,0.00130627,0.00130627,0.00130627
9,98.4221,1.39764,3.10316,1.01982,0.00649,1,0.16072,0.09979,0.93876,3.47647,1.0089,0.00142756,0.00142756,0.00142756
10,112.141,1.16729,2.84428,1.06192,0.00649,1,0.16072,0.09979,0.93876,3.47647,1.0089,0.00153896,0.00153896,0.00153896
11,117.757,1.52814,2.68511,1.00975,0.09585,0.9,0.19209,0.12465,0.99747,3.27081,1.04172,0.001505,0.001505,0.001505
