epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.6934,1.30315,4.74762,1.17708,0.003,0.9,0.00438,0.00311,1.06507,4.16075,0.90572,0.00018,0.00018,0.00018
2,36.1315,1.21323,3.92755,0.93599,0.00333,1,0.00829,0.0056,0.95379,4.13423,0.89407,0.000372476,0.000372476,0.000372476
3,67.4912,1.06536,3.4281,0.98242,0.00333,1,0.00821,0.00564,1.04913,4.24664,0.94635,0.000557032,0.000557032,0.000557032
4,98.8484,1.18393,2.51556,1.00957,0.00333,1,0.00756,0.00545,0.92159,4.26254,0.93846,0.000733668,0.000733668,0.000733668
5,119.672,1.15563,2.79463,1.03901,0.00333,1,0.62373,0.46141,0.9888,4.0204,0.93619,0.000902384,0.000902384,0.000902384
6,139.53,1.16992,2.03152,0.99472,0.00333,1,0.08342,0.06292,0.85642,4.1088,0.90737,0.00106318,0.00106318,0.00106318
7,160.934,0.95285,1.97877,0.91604,0.00333,1,0.08342,0.06292,0.85642,4.1088,0.90737,0.00121606,0.00121606,0.00121606
8,181.467,1.07833,2.0818,0.9699,0.84615,0.55385,0.76711,0.47928,0.98804,3.62579,0.97947,0.00136101,0.00136101,0.00136101
9,196.397,1.05063,1.76283,0.94016,0.38617,0.6,0.61797,0.3799,0.87997,3.19745,1.01108,0.00149805,0.00149805,0.00149805
10,213.401,0.94754,1.78978,0.94432,0.38617,0.6,0.61797,0.3799,0.87997,3.19745,1.01108,0.00162716,0.00162716,0.00162716
11,229.129,0.96753,2.18471,0.98356,0.81584,0.44751,0.70955,0.52696,0.94466,3.08877,1.07785,0.001604,0.001604,0.001604
12,243.368,0.99484,1.92751,1.00428,0.98586,0.9,0.98591,0.65045,1.12235,2.78011,1.22109,0.0015644,0.0015644,0.0015644
13,257.805,1.04487,2.08059,1.04205,0.98586,0.9,0.98591,0.65045,1.12235,2.78011,1.22109,0.0015248,0.0015248,0.0015248
14,272.275,0.92603,1.61678,0.95866,0.98671,1,0.995,0.72226,0.94956,2.44926,1.1653,0.0014852,0.0014852,0.0014852
15,286.939,0.89196,1.73615,0.94643,0.99442,1,0.995,0.71673,0.98047,2.062,1.1601,0.0014456,0.0014456,0.0014456
16,303.974,0.95554,1.72975,0.97004,0.99442,1,0.995,0.71673,0.98047,2.062,1.1601,0.001406,0.001406,0.001406
17,320.247,0.86628,1.49675,0.93884,0.9966,1,0.995,0.74994,0.91982,2.11819,1.09194,0.0013664,0.0013664,0.0013664
18,339.895,0.93585,1.65715,0.99446,0.9966,1,0.995,0.74994,0.91982,2.11819,1.09194,0.0013268,0.0013268,0.0013268
19,364.149,0.85521,1.58398,0.97013,0.99397,1,0.995,0.80626,0.94974,2.21658,1.10137,0.0012872,0.0012872,0.0012872
20,391.16,0.89839,1.86517,0.9793,0.99461,1,0.995,0.76084,0.92072,1.84326,1.09631,0.0012476,0.0012476,0.0012476
21,436.617,0.86051,1.57817,0.96609,0.99461,1,0.995,0.76084,0.92072,1.84326,1.09631,0.001208,0.001208,0.001208
22,468.06,0.88899,1.39054,0.97578,0.99474,1,0.995,0.7742,0.85463,1.81261,1.05688,0.0011684,0.0011684,0.0011684
23,500.946,0.80144,1.40342,0.89306,0.99448,1,0.995,0.81995,0.82563,1.63384,1.03687,0.0011288,0.0011288,0.0011288
24,541.363,0.79862,1.23418,0.93321,0.99448,1,0.995,0.81995,0.82563,1.63384,1.03687,0.0010892,0.0010892,0.0010892
25,563.949,0.7116,3.66575,0.86132,0.99428,1,0.995,0.78253,0.86387,1.53111,1.04527,0.0010496,0.0010496,0.0010496
26,583.4,0.79667,1.46841,0.94351,0.99428,1,0.995,0.78253,0.86387,1.53111,1.04527,0.00101,0.00101,0.00101
27,601.81,0.73603,1.76712,0.94186,0.99463,1,0.995,0.77961,0.88979,1.66119,1.05194,0.0009704,0.0009704,0.0009704
28,617.472,0.84783,1.38659,0.93871,0.99537,1,0.995,0.7724,0.8794,1.67206,1.0393,0.0009308,0.0009308,0.0009308
