epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.7051,1.4569,4.96783,1.05197,0.002,0.6,0.00189,0.0012,1.04798,4.22761,0.91779,0.00018,0.00018,0.00018
2,23.4485,1.56905,5.91877,1.04434,0.00333,1,0.40037,0.28572,0.87756,4.06337,0.85579,0.00036119,0.00036119,0.00036119
3,32.458,1.39262,4.07205,0.96332,0.00333,1,0.7713,0.30838,1.06282,4.28595,0.958,0.00052258,0.00052258,0.00052258
4,45.7682,1.31325,4.33444,0.97595,0.00333,1,0.86143,0.22851,0.98931,4.44251,0.99509,0.00066417,0.00066417,0.00066417
5,54.1067,1.45154,3.41328,0.98005,0.00333,1,0.29803,0.05382,0.82373,4.12385,0.90307,0.00078596,0.00078596,0.00078596
6,68.4261,1.3053,4.17415,0.9789,0.00333,1,0.09884,0.05974,0.80317,4.0697,0.90512,0.00088795,0.00088795,0.00088795
7,83.6439,1.05014,3.09979,0.94879,0.00333,1,0.09884,0.05974,0.80317,4.0697,0.90512,0.00097014,0.00097014,0.00097014
8,91.5839,1.27445,2.7123,0.91652,0.00333,1,0.17192,0.1202,0.78197,3.97073,0.91344,0.00103253,0.00103253,0.00103253
