epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.6562,1.30315,4.74762,1.17708,0.003,0.9,0.00438,0.00311,1.06507,4.16075,0.90572,0.00018,0.00018,0.00018
2,20.6439,1.21169,3.93244,0.93607,0.00333,1,0.00828,0.00574,0.9317,4.11449,0.88929,0.00036119,0.00036119,0.00036119
3,30.643,1.06588,3.4389,0.98189,0.00333,1,0.00836,0.00605,1.04278,4.29554,0.94369,0.00052258,0.00052258,0.00052258
4,40.5695,1.18411,2.55408,1.00864,0.00333,1,0.00774,0.00546,0.9159,4.24279,0.9275,0.00066417,0.00066417,0.00066417
5,50.2005,1.12875,2.78575,1.0225,0.00333,1,0.56593,0.4177,0.96047,4.05667,0.93977,0.00078596,0.00078596,0.00078596
6,59.8993,1.17646,2.01651,0.99188,0.00333,1,0.3937,0.31812,0.85273,4.06495,0.90199,0.00088795,0.00088795,0.00088795
7,69.5322,0.97452,1.87549,0.91913,0.00333,1,0.3937,0.31812,0.85273,4.06495,0.90199,0.00097014,0.00097014,0.00097014
8,78.8303,1.0063,2.07855,0.93015,0.21598,0.8,0.52743,0.36275,0.8608,3.80555,0.9337,0.00103253,0.00103253,0.00103253
9,87.9591,0.95589,1.71584,0.918,1,0.58551,0.91265,0.62841,0.86146,3.27891,0.9833,0.00107512,0.00107512,0.00107512
10,97.1707,0.87733,1.74449,0.91924,1,0.58551,0.91265,0.62841,0.86146,3.27891,0.9833,0.00109791,0.00109791,0.00109791
11,106.732,0.80165,1.9527,0.8799,0.8953,0.8577,0.96833,0.71615,0.79498,2.98096,0.99717,0.00101,0.00101,0.00101
12,117.399,0.79834,1.89776,0.90428,0.8209,0.91794,0.96833,0.72511,1.03254,2.70381,1.08956,0.000911,0.000911,0.000911
13,127.115,0.75848,1.80768,0.92752,0.8209,0.91794,0.96833,0.72511,1.03254,2.70381,1.08956,0.000812,0.000812,0.000812
14,140.379,0.81237,1.90349,0.91633,0.97542,1,0.995,0.73701,1.0638,2.44517,1.10444,0.000713,0.000713,0.000713
15,152.859,0.77604,1.77656,0.91339,1,0.981,0.995,0.76955,0.93798,2.24816,1.06383,0.000614,0.000614,0.000614
16,166.199,0.74797,1.71665,0.90758,1,0.981,0.995,0.76955,0.93798,2.24816,1.06383,0.000515,0.000515,0.000515
17,181.19,0.7196,1.64968,0.912,0.98936,1,0.995,0.78138,0.85643,2.02812,1.03747,0.000416,0.000416,0.000416
18,192.101,0.75793,1.62203,0.88951,0.98936,1,0.995,0.78138,0.85643,2.02812,1.03747,0.000317,0.000317,0.000317
19,203.574,0.72193,1.63335,0.90271,0.99307,1,0.995,0.79788,0.818,1.91648,1.01947,0.000218,0.000218,0.000218
20,215.688,0.68338,1.59553,0.87835,0.99434,1,0.995,0.79668,0.81165,1.86565,1.01954,0.000119,0.000119,0.000119
